"indepCut","depCut","model","cutpoint","beta","N","clsize"
0.45,0.45,"A",0.5,1.38629436111989,100,4
0.51,0.59,"A",0.5,1.38629436111989,100,4
0.49,0.49,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.55,0.55,"A",0.5,1.38629436111989,100,4
0.45,0.41,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.49,0.49,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.53,0.53,"A",0.5,1.38629436111989,100,4
0.59,0.59,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.51,0.49,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.59,0.59,"A",0.5,1.38629436111989,100,4
0.59,0.49,"A",0.5,1.38629436111989,100,4
0.51,0.47,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.49,0.49,"A",0.5,1.38629436111989,100,4
0.53,0.53,"A",0.5,1.38629436111989,100,4
0.57,0.51,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.49,0.49,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.55,0.55,"A",0.5,1.38629436111989,100,4
0.49,0.49,"A",0.5,1.38629436111989,100,4
0.51,0.55,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.53,0.53,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.55,0.55,"A",0.5,1.38629436111989,100,4
0.59,0.59,"A",0.5,1.38629436111989,100,4
0.53,0.53,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.53,0.51,"A",0.5,1.38629436111989,100,4
0.53,0.53,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.53,0.53,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.53,0.47,"A",0.5,1.38629436111989,100,4
0.51,0.53,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.53,0.53,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.53,0.53,"A",0.5,1.38629436111989,100,4
0.51,0.49,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.53,0.53,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.51,0.49,"A",0.5,1.38629436111989,100,4
0.53,0.53,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.53,0.53,"A",0.5,1.38629436111989,100,4
0.55,0.55,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
0.51,0.51,"A",0.5,1.38629436111989,100,4
