"glmIndepAllVars_vimp","glmIndepSingleVars_vimp","glmDepAllVars_vimp","glmDepSingleVars_vimp","model","var","beta"
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
5,5,5,5,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,2,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,2,2,2,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
2,2,3,3,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
2,2,2,2,"A","night and patient",0.693147180559945
2,2,2,2,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
2,2,2,2,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
2,1,2,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
2,2,2,2,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
2,2,2,2,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
4,4,4,4,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
2,2,2,2,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
2,2,2,2,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
4,4,4,4,"A","night and patient",0.693147180559945
2,2,2,2,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
2,2,2,2,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
2,3,2,3,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
5,5,4,5,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
3,3,3,3,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
3,4,3,3,"A","night and patient",0.693147180559945
2,2,2,2,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
3,3,4,4,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
3,3,3,3,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
2,2,2,2,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
2,2,2,2,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
2,2,2,2,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
3,2,3,2,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
3,3,3,3,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
2,1,2,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
2,2,2,2,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
2,1,3,2,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
3,4,3,4,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
2,2,2,2,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
2,2,2,2,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
2,2,2,2,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
2,2,2,2,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
2,3,2,3,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
3,5,4,4,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
5,5,5,5,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
1,1,1,1,"A","night and patient",0.693147180559945
