"glmIndepAllVars_vimp","glmIndepSingleVars_vimp","glmDepAllVars_vimp","glmDepSingleVars_vimp","model","var","beta"
2,2,2,2,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
2,2,2,3,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
2,2,2,2,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
2,2,2,2,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
2,3,2,3,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
2,2,2,2,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
2,2,2,2,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
2,2,2,2,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
2,2,2,2,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
2,2,2,2,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
2,3,2,2,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
3,3,3,3,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
2,2,2,2,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
3,3,3,3,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
3,3,3,3,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
3,3,3,3,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
1,1,1,1,"A","only night",0.693147180559945
