"glmIndep_vimp1","glmIndep_vimp4","glmDep_vimp1","glmDep_vimp4","rfIndep_vimp1","rfIndep_vimp4","rfDep_vimp1","rfDep_vimp4","erIndep_vimp1","erIndep_vimp4","erDep_vimp1","erDep_vimp4","rmrfIndep_vimp1","rmrfIndep_vimp4","rmrfDep_vimp1","rmrfDep_vimp4","model","beta","sigma"
1,2,1,3,1,2,1,3,1,2,1,5,1,3,1,4,"A",0.693147180559945,3
1,2,1,2,1,2,1,3,1,2,1,4,1,3,1,5,"A",0.693147180559945,3
3,1,3,1,3,2,4,1,4,1,3,1,3,1,4,1,"A",0.693147180559945,3
1,3,1,3,3,1,1,2,1,3,1,3,3,2,1,2,"A",0.693147180559945,3
3,1,2,1,3,1,3,1,4,1,3,1,5,1,3,1,"A",0.693147180559945,3
1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,"A",0.693147180559945,3
1,2,1,2,1,2,1,2,1,2,1,3,1,2,1,2,"A",0.693147180559945,3
2,1,4,1,3,1,3,1,3,1,2,1,3,1,1,2,"A",0.693147180559945,3
3,1,3,1,3,1,3,1,3,1,3,2,3,1,2,1,"A",0.693147180559945,3
1,2,1,2,1,2,1,3,1,2,1,3,2,1,1,4,"A",0.693147180559945,3
1,2,2,1,2,1,1,2,2,1,1,2,2,1,1,2,"A",0.693147180559945,3
3,2,3,2,3,2,1,3,3,2,1,3,3,2,2,3,"A",0.693147180559945,3
1,3,1,3,2,4,1,4,1,3,1,3,2,4,1,5,"A",0.693147180559945,3
2,1,2,1,2,1,2,1,2,1,2,1,3,1,2,1,"A",0.693147180559945,3
3,1,2,1,3,1,1,3,3,1,1,2,3,1,1,3,"A",0.693147180559945,3
2,1,2,1,2,1,1,2,2,1,2,1,2,1,1,2,"A",0.693147180559945,3
1,4,1,3,2,3,1,4,2,3,1,4,2,3,1,4,"A",0.693147180559945,3
1,3,1,4,3,2,2,3,1,3,1,3,2,3,2,5,"A",0.693147180559945,3
2,1,2,1,4,2,2,3,4,1,3,1,4,1,2,3,"A",0.693147180559945,3
1,3,1,3,1,2,1,2,1,2,1,3,1,2,1,4,"A",0.693147180559945,3
2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,"A",0.693147180559945,3
4,1,2,1,4,1,3,2,4,1,3,2,4,1,3,5,"A",0.693147180559945,3
4,5,3,5,5,2,3,5,5,2,3,5,2,3,5,1,"A",0.693147180559945,3
2,1,2,1,3,1,2,1,2,1,1,2,3,1,2,1,"A",0.693147180559945,3
3,2,2,1,3,1,2,3,3,2,2,3,3,1,1,3,"A",0.693147180559945,3
2,1,2,1,3,1,2,1,3,1,2,1,3,1,2,1,"A",0.693147180559945,3
4,1,4,1,4,1,2,1,4,1,3,1,4,1,3,1,"A",0.693147180559945,3
1,2,1,2,2,1,1,2,1,2,1,2,1,2,1,2,"A",0.693147180559945,3
2,1,3,1,3,1,2,1,2,1,2,1,3,1,2,1,"A",0.693147180559945,3
1,3,1,3,1,2,1,3,1,2,1,3,1,2,1,2,"A",0.693147180559945,3
